Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
2019,6.2,58.0,0,1,0,0
2018,8.2,10.0,0,0,1,0
2017,7.7,10.0,0,0,1,0
2015,5.1,14.0,0,1,0,0
2013,6.6,42.0,0,1,0,1
1998,7.8,43.0,0,0,1,0
2017,7.1,13.0,0,0,1,0
2019,5.2,48.0,1,0,0,0
1999,7.3,58.0,0,0,1,0
2007,5.7,49.0,0,1,0,0
2019,7.0,55.0,0,1,0,0
2017,7.1,41.0,0,0,1,0
2007,7.1,43.0,1,0,0,0
2011,6.5,61.0,0,1,0,0
1993,8.1,42.0,0,0,1,0
2019,6.7,66.0,1,0,0,0
2016,7.4,47.0,1,0,0,0
2005,8.3,90.0,0,1,1,0
2017,8.4,13.0,0,0,1,0
1977,5.3,13.0,0,0,1,0
2012,8.1,61.0,0,1,0,0
2018,6.4,62.0,0,1,0,0
2015,7.3,13.0,0,0,1,0
2020,7.4,60.0,1,0,0,0
2016,7.2,69.0,0,0,1,0
2020,6.8,75.0,1,0,0,0
2014,5.9,25.0,0,1,0,0
1995,8.8,83.0,0,1,0,0
2021,8.5,59.0,1,0,0,0
2016,6.4,40.0,0,1,0,0
2009,6.1,35.0,0,0,1,0
2009,8.2,78.0,0,1,0,0
2018,8.2,63.0,0,0,1,0
2016,3.9,31.0,1,0,0,0
2012,7.4,63.0,1,0,0,0
2017,6.9,39.0,0,0,1,0
2020,4.5,45.0,0,1,0,0
2004,8.4,56.0,0,0,1,0
2010,8.8,55.0,0,0,1,0
2010,7.6,80.0,0,1,0,0
1991,8.2,64.0,0,0,1,0
2017,5.0,48.0,1,0,0,0
2018,8.8,10.0,0,0,1,0
2013,8.8,38.0,1,0,0,0
2017,8.0,64.0,1,0,0,0
2017,6.2,38.0,0,0,1,0
2017,6.2,45.0,1,0,0,0
2008,7.7,53.0,0,1,0,0
2014,8.2,85.0,1,0,1,0
2019,7.6,47.0,1,0,0,0
2020,8.0,33.0,0,0,1,0
2014,7.6,37.0,0,0,0,1
2014,8.1,59.0,0,1,0,0
1997,6.2,49.0,0,0,0,1
2018,5.4,44.0,1,0,0,0
2010,6.7,50.0,0,1,0,0
1955,7.6,41.0,0,0,1,0
1980,7.7,52.0,0,0,1,0
2009,6.7,49.0,0,0,1,0
2015,6.0,62.0,1,0,0,0
1966,7.6,63.0,0,0,1,0
1932,6.5,23.0,0,0,1,0
2008,4.9,41.0,0,0,1,0
2016,7.7,43.0,1,0,0,0
2020,7.6,35.0,0,0,0,1
2013,5.4,31.0,0,1,0,0
2012,7.3,13.0,0,0,1,0
2007,7.0,33.0,0,0,1,0
2012,7.9,83.0,0,1,0,0
2019,8.1,48.0,0,1,0,0
2008,3.8,27.0,0,1,0,0
2018,8.0,70.0,1,0,0,0
1986,8.5,64.0,1,0,1,0
2020,9.2,62.0,0,0,0,1
2011,8.0,86.0,1,1,1,0
2005,7.6,64.0,0,0,1,0
1996,6.7,66.0,0,1,0,0
2019,7.0,55.0,0,1,0,0
2014,5.6,10.0,0,0,1,0
2016,6.5,52.0,0,0,0,1
2018,7.2,48.0,1,0,0,0
2013,6.6,10.0,0,0,1,0
2017,7.5,60.0,1,0,0,0
2016,6.6,14.0,0,0,1,0
2015,6.5,10.0,0,0,1,0
2012,8.1,36.0,0,1,0,0
2015,7.0,43.0,1,0,1,0
2017,7.0,63.0,0,1,0,0
2016,8.6,51.0,0,1,1,0
2012,4.9,55.0,0,1,0,1
2020,7.7,76.0,0,1,0,0
1996,7.8,50.0,0,1,0,0
2015,7.8,72.0,0,1,0,0
2015,7.8,10.0,0,0,1,0
2016,7.4,19.0,0,1,1,0
2017,7.8,37.0,0,0,1,0
2015,7.1,55.0,0,1,0,0
2010,5.8,54.0,0,0,0,1
2018,8.4,36.0,0,1,0,0
2020,7.0,45.0,1,0,0,0
2018,7.7,10.0,0,0,1,0
2018,6.7,45.0,1,0,0,0
1958,7.4,50.0,0,0,1,0
2014,7.8,10.0,0,0,1,0
2018,6.8,45.0,1,0,0,0
2012,8.5,66.0,1,0,0,0
2001,6.6,62.0,0,0,0,1
2020,5.5,44.0,1,0,0,0
2018,6.3,30.0,1,0,0,0
2016,7.2,51.0,1,0,0,0
2010,8.0,78.0,0,1,0,0
2014,4.4,10.0,0,0,1,0
2020,8.2,59.0,0,0,1,0
2017,8.4,43.0,1,0,0,0
2012,7.5,51.0,0,1,0,0
2018,4.6,38.0,0,0,1,0
2007,7.3,63.0,0,1,0,0
2021,5.4,47.0,1,0,0,0
2020,8.0,65.0,1,0,0,0
2018,7.8,45.0,0,0,0,1
2015,3.6,38.0,0,1,0,0
2021,7.1,69.0,0,1,0,0
2013,7.7,57.0,0,0,1,0
1988,7.7,59.0,0,0,0,1
2020,7.3,54.0,0,1,0,0
2008,4.4,53.0,0,1,0,0
2017,8.2,18.0,0,0,1,0
2017,7.5,50.0,1,0,0,0
2020,8.0,45.0,1,0,0,0
2011,5.5,13.0,0,0,1,0
1967,6.9,59.0,0,1,0,0
2019,8.0,79.0,0,1,0,0
2017,6.3,47.0,0,0,1,0
2019,5.9,45.0,1,0,0,0
2018,6.8,33.0,1,0,0,0
2017,8.0,53.0,1,0,0,0
1989,8.6,91.0,0,1,0,1
2019,8.2,78.0,0,0,1,0
2002,5.0,40.0,0,0,1,0
2019,6.5,49.0,1,0,0,0
2008,7.0,54.0,0,0,1,0
2020,5.8,45.0,1,0,0,0
2019,6.9,46.0,0,1,0,0
2019,6.6,42.0,1,0,0,0
2015,7.8,45.0,1,0,0,0
2017,8.2,34.0,0,0,1,0
2017,9.1,10.0,0,0,1,0
2005,7.5,10.0,0,0,1,0
2017,5.6,40.0,0,0,1,0
2002,6.8,57.0,0,0,1,0
2018,8.2,82.0,1,0,0,0
2017,8.0,54.0,0,0,1,0
2000,7.2,72.0,1,1,1,0
2021,5.9,63.0,1,0,0,0
2013,7.7,36.0,0,1,0,0
1994,6.2,31.0,0,0,1,0
2011,6.9,43.0,0,0,1,0
2011,6.1,45.0,0,0,1,0
2012,7.2,58.0,1,0,0,0
2018,7.2,47.0,1,0,0,0
2014,7.2,55.0,0,1,0,0
2014,6.2,33.0,0,0,1,0
2010,7.1,17.0,0,0,1,0
2014,8.3,56.0,0,0,1,0
