Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2005,16+,7.8,62.0,0,1,0,0,0
1989,16+,8.8,93.0,0,1,0,0,0
1973,7+,8.1,58.0,0,0,0,1,0
2013,all,6.2,57.0,1,0,0,0,0
2021,,7.6,47.0,1,0,0,0,1
2010,7+,3.0,41.0,0,1,0,0,0
2015,7+,8.3,63.0,0,1,0,0,0
2017,7+,7.0,66.0,1,0,0,0,0
2018,all,7.7,55.0,0,1,0,0,0
2016,,7.3,17.0,0,0,1,0,1
2003,,7.1,31.0,1,0,0,0,1
2005,7+,6.5,51.0,0,0,1,0,0
2019,7+,4.5,35.0,0,1,0,0,0
2016,7+,5.8,37.0,1,0,0,0,0
2016,,5.9,13.0,0,0,1,0,1
2005,7+,5.4,34.0,1,0,0,0,0
2019,,5.4,34.0,0,1,0,0,1
2017,all,7.2,34.0,0,0,1,0,0
2000,7+,3.6,53.0,0,1,0,0,0
2017,,8.8,10.0,0,0,1,0,1
2001,,8.8,13.0,0,0,1,0,1
2016,18+,7.8,55.0,0,1,0,0,0
2008,18+,4.2,43.0,0,0,1,0,0
2018,all,6.2,21.0,1,0,0,0,0
2019,16+,6.2,70.0,1,0,0,0,0
2002,,6.1,42.0,0,1,0,0,1
2002,,7.1,39.0,0,0,1,0,1
2019,16+,6.9,52.0,1,0,0,0,0
2017,all,8.3,44.0,1,0,0,0,0
2020,all,7.9,52.0,1,0,0,0,0
2015,16+,7.8,59.0,0,1,0,0,0
2015,,7.6,10.0,1,0,0,0,1
2015,18+,8.1,74.0,0,1,0,0,0
1993,7+,6.4,52.0,0,0,1,0,0
2014,,8.1,33.0,0,1,0,0,1
2018,16+,8.0,59.0,1,0,0,0,0
2013,18+,8.0,87.0,1,0,0,0,0
