Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
3,8.0,45.0,1,0,0,0
12,5.5,13.0,0,0,1,0
56,6.9,59.0,0,1,0,0
4,8.0,79.0,0,1,0,0
6,6.3,47.0,0,0,1,0
4,5.9,45.0,1,0,0,0
5,6.8,33.0,1,0,0,0
6,8.0,53.0,1,0,0,0
34,8.6,91.0,0,1,0,1
4,8.2,78.0,0,0,1,0
21,5.0,40.0,0,0,1,0
4,6.5,49.0,1,0,0,0
15,7.0,54.0,0,0,1,0
3,5.8,45.0,1,0,0,0
4,6.9,46.0,0,1,0,0
4,6.6,42.0,1,0,0,0
8,7.8,45.0,1,0,0,0
6,8.2,34.0,0,0,1,0
6,9.1,10.0,0,0,1,0
18,7.5,10.0,0,0,1,0
6,5.6,40.0,0,0,1,0
21,6.8,57.0,0,0,1,0
5,8.2,82.0,1,0,0,0
6,8.0,54.0,0,0,1,0
23,7.2,72.0,1,1,1,0
2,5.9,63.0,1,0,0,0
10,7.7,36.0,0,1,0,0
29,6.2,31.0,0,0,1,0
12,6.9,43.0,0,0,1,0
12,6.1,45.0,0,0,1,0
11,7.2,58.0,1,0,0,0
5,7.2,47.0,1,0,0,0
9,7.2,55.0,0,1,0,0
9,6.2,33.0,0,0,1,0
13,7.1,17.0,0,0,1,0
9,8.3,56.0,0,0,1,0
3,5.8,56.0,1,0,0,0
13,7.8,52.0,0,1,0,0
4,7.7,41.0,1,0,0,0
27,8.0,41.0,0,0,1,0
9,6.3,44.0,1,0,0,0
2,6.5,63.0,0,1,0,0
6,8.0,63.0,1,0,0,0
7,5.8,14.0,0,0,1,0
4,7.5,73.0,1,0,0,0
9,7.4,60.0,0,1,0,0
76,7.3,18.0,0,0,1,0
6,7.3,67.0,0,0,1,0
6,7.2,51.0,0,1,0,0
4,6.5,42.0,0,1,0,0
6,6.9,48.0,0,0,1,0
13,8.7,56.0,0,0,1,0
5,6.9,51.0,1,0,0,0
9,7.7,72.0,0,0,1,0
7,7.8,63.0,0,0,1,0
35,8.3,72.0,0,1,0,0
13,8.1,46.0,0,0,0,1
4,7.2,67.0,1,1,0,0
3,6.1,60.0,1,0,0,0
11,8.6,46.0,0,0,1,0
9,5.1,25.0,0,0,1,0
5,4.8,36.0,1,0,0,0
4,7.7,60.0,1,0,0,0
3,2.7,31.0,1,0,0,0
4,6.8,14.0,0,0,1,0
7,6.8,62.0,0,0,0,1
16,4.0,35.0,1,0,0,0
11,7.3,62.0,0,1,0,0
19,8.2,64.0,0,1,0,0
29,7.3,50.0,0,0,1,0
